"","ID","HEI","Title-ES","Title-EN","Subtitle-ES","Subtitle-EN","Description-ES","Description-EN","Aplications-ES","Aplications-EN","Photo","Keywords","Contact"
"1",1,"Universidade De Aveiro","Propiedades de barrera y superficie","Barrier and surface properties","Análisis de las propiedades de barrera y de superficie de los polímeros","Analysis of barrier and surface properties of polymers","La Universidad de Aveiro posee capacidades avanzadas para la caracterización de las propiedades de barrera y de superficie de materiales poliméricos. Sus instalaciones incluyen sistemas para evaluar la tasa de transmisión de vapor de agua (WVTR) y la tasa de transmisión de oxígeno (OTR) bajo condiciones de temperatura y humedad relativa. 

Además, la Universidad está equipada con sistemas goniométricos de alta precisión para el análisis del ángulo de contacto, que incorporan cámaras de alta resolución y software automatizado para la evaluación de gotas. Es posible utilizar una variedad de líquidos de prueba —incluyendo agua, di-yodometano y etilenglicol— para determinar la humectabilidad y la energía superficial, lo que permite una evaluación completa del comportamiento interfacial de las superficies. 

Estos análisis son esenciales para comprender cómo interactúan los materiales con la humedad, los gases y los líquidos, proporcionando información valiosa sobre su durabilidad, rendimiento y comportamiento funcional. Las propiedades de barrera y de superficie desempeñan un papel fundamental tanto en el desempeño de los plásticos como en su reciclabilidad.","The University of Aveiro possesses advanced capabilities for the characterization of barrier and surface properties of polymeric materials. Its facilities include systems for assessing water vapor transmission rate (WVTR) and oxygen transmission rate (OTR) under precisely controlled temperature and relative humidity conditions.  

In addition, the University is equipped with high-precision goniometric systems for contact angle analysis, featuring high-resolution imaging and automated droplet evaluation software. A variety of probe liquids—including water, diiodomethane, and ethylene glycol—can be used to determine wettability and surface energy, enabling comprehensive evaluation of the interfacial behavior of polymeric surfaces. 

These analyses are essential for understanding how materials interact with moisture, gases, and liquids, offering valuable insights into durability, performance, and functional behavior. Barrier and surface properties play a crucial role in determining both the performance of plastics and their recyclability. ","Desarrollo de materiales de envase; evaluación de recubrimientos; estudio de biopolímeros; análisis de estabilidad y propiedades superficiales.","Development of packaging materials; evaluation of coatings; study of biopolymers; analysis of stability and surface properties.","https://www.dropbox.com/scl/fo/f9rqtg0w8wkom2jqgsbyb/AJDKSMPs38MdPc7-JrV8PmU?rlkey=d0bnfesiu70ithnvigtn9dj5s\&st=ece00pwc\&dl=0","Permeabilidad / Ángulo de contacto / Superficie | Permeability / Contact angle / Surface","Paula Ferreira, pcferreira@ua.pt, Department of Materials and Ceramic Engineering"
"2",2,"Universidade De Aveiro","Caracterización morfológica de materiales plásticos","Morphological characterization of plastic materials","Análisis micro- y nanoestructural de polímeros vírgenes, reciclados, compuestos y nanocompuestos","Micro- and nanoscale analysis of virgin, recycled, composite, and nanocomposite polymers","La Universidade de Aveiro dispone de capacidades avanzadas para la caracterización morfológica micro- y nanoestructural de materiales plásticos, incluyendo sistemas vírgenes, reciclados, compuestos y nanocompuestos. La infraestructura integra microscopía óptica, microscopía electrónica de barrido (SEM), microscopía electrónica de transmisión (TEM), microscopía de fuerza atómica (AFM) y perfilometría óptica 3D, lo que permite un análisis detallado de la estructura, la superficie, las interfaces, la porosidad y los defectos. 

Estas capacidades posibilitan el estudio del comportamiento morfológico y su correlación con las propiedades mecánicas y térmicas de los materiales, apoyando actividades de I+D, innovación y desarrollo de nuevas formulaciones. El equipamiento y el personal especializado permiten la preparación adecuada de muestras, la obtención de imágenes de alta resolución y la interpretación avanzada de datos morfológicos. 

La caracterización obtenida contribuye al desarrollo de materiales más sostenibles, a la optimización de procesos de reciclado y a la mejora del control de calidad, reforzando la investigación y la transición hacia una economía circular.","The University of Aveiro has advanced capabilities for micro- and nanoscale morphological characterization of plastic materials, including virgin, recycled, composite, and nanocomposite systems. Its infrastructure integrates optical microscopy, scanning electron microscopy (SEM), transmission electron microscopy (TEM), atomic force microscopy (AFM), and 3D optical profilometry, enabling detailed analysis of structure, surface, interfaces, porosity, and defects across multiple length scales. 

These capabilities support in-depth studies of morphological behavior and its correlation with mechanical and thermal properties, facilitating R\&D activities, innovation, and the development of new formulations. Specialized equipment and staff ensure proper sample preparation, high-resolution imaging, and advanced morphological interpretation. 

The resulting characterization contributes to the development of more sustainable materials, optimization of recycling processes, and improved quality control, strengthening research and the transition toward a circular plastics economy.","Análisis micro- y nanoestructural de materiales poliméricos vírgenes, reciclados, compuestos y nanocompuestos. 
Estudio de interfaces, porosidad, defectos y fenómenos de degradación. 
Evaluación del impacto de procesos de reciclado, reformulación o modificación del material. 
Correlación entre morfología y propiedades mecánicas o térmicas. 
Apoyo a proyectos de I+D y desarrollo de nuevas formulaciones. 
Contribución al control de calidad y a la validación de materiales en entornos industriales o de laboratorio.","Micro- and nanoscale analysis of virgin, recycled, composite, and nanocomposite plastic materials. 
Study of interfaces, porosity, defects, and degradation phenomena. 
Assessment of the impact of recycling, reformulation, or material modification processes. 
Correlation between morphology and mechanical or thermal properties. 
Support for R\&D projects and development of new formulations. 
Contribution to quality control and material validation in industrial or laboratory contexts.","https://www.dropbox.com/scl/fo/acxzbogurox0475qp6xee/AFcG0gi-5yqKyLJJy004OEg?rlkey=meww2flbxp1pxdzcqbjfyt36p\&st=lupybvxs\&dl=0","Microscopía - Caracterización - Plásticos reciclados   Microscopy - Characterization - Recycled plastics","ciceco-sme@ua.pt"
"3",3,"Universidade De Aveiro","Propiedades ópticas de polímeros","Optical properties of polymers","Caracterización UV-Vis y análisis colorimétrico","UV-Vis characterization and colorimetric analysis","La Universidad de Aveiro (UA) ofrece instalaciones y experiencia para la caracterización óptica de materiales, apoyando la investigación de vanguardia, la investigación académica y la innovación industrial. 
La UA está equipada con una amplia gama de técnicas para analizar el comportamiento y desempeño óptico de los materiales, incluyendo espectrofotometría UV-Vis-NIR, espectroscopía de fluorescencia, mediciones de índice de refracción y transmitancia, y análisis colorimétrico. Estas técnicas permiten la evaluación precisa de las propiedades de absorción, reflectancia, transmitancia, dispersión y emisión de películas poliméricas, así como la determinación de parámetros de color como Lab* y ΔE. 

El equipamiento disponible incluye espectrofotómetros UV-Vis con esferas integradoras para medir superficies transparentes, mate o difusas, lo que permite el estudio de la estabilidad óptica, los efectos del envejecimiento y la influencia de pigmentos o aditivos absorbentes de UV. Estas capacidades son esenciales para comprender cómo la degradación, los cambios en la formulación y los ciclos de reciclaje afectan la transparencia, la coloración y el comportamiento óptico de los polímeros.","The University of Aveiro (UA) offers facilities and expertise for optical characterization of materials, including UV‑Vis-NIR spectrometry and colorimetric analysis. 

UA is equipped with a wide range of for analyzing the optical behavior and performance of materials, including UV-Vis spectrophotometry with integrating spheres, fluorescence spectroscopy, refractive index, and colorimetric systems. These techniques enable the precise evaluation of absorption, reflectance, transmittance, scattering, and emission properties of polymer films, as well as the determination of color parameters such as Lab* and ΔE. 

Available equipment includes UV-Vis spectrophotometers with integrating spheres for measuring transparent, matte, or diffuse surfaces, enabling the study of optical stability, aging effects, and the influence of pigments or UV-absorbing additives. These capabilities are essential for understanding how degradation, formulation changes, and recycling cycles impact polymer transparency, coloration, and optical behavior, supporting the development of more durable and recyclable materials.","Evaluación de transparencia y absorción de filmes poliméricos 

Análisis de color, tintado y variaciones cromáticas 

Estudio de degradación óptica durante reciclaje 

Caracterización de recubrimientos, aditivos y pigmentos","Transparency and absorption evaluation of polymer films 

Color analysis and chromatic variation monitoring 

Optical degradation assessment during recycling 

Characterization of coatings, additives and pigments","https://www.dropbox.com/scl/fo/xaqzppmaayapda53k1tvx/AIDpmaFKCEZLID3JTH4FTCo?rlkey=5z63cxly7e06w8lnpsp43lkua\&st=besidq52\&dl=0","Óptica / Optics  UV-Vis / UV-Vis  Colorimetría / Colorimetry","Paula Ferreira, pcferreira@ua.pt, Department of Materials and Ceramic Engineering"
"4",4,"Universidade De Aveiro","Propiedades reológicas de polímeros","Rheological properties of polymers","Propiedades reológicas de polímeros","Rheological properties of polymers","La UA ofrece instalaciones y experiencia para la caracterización reológica de materiales. El análisis reológico proporciona información sobre el comportamiento de flujo y deformación, permitiendo optimizar formulaciones y condiciones de procesamiento en sistemas poliméricos y compuestos y comprender su comportamiento durante reciclaje. 

La UA dispone de reómetros rotacionales y oscilatorios capaces de realizar mediciones en régimen estacionario, dinámico y viscoelástico bajo condiciones controladas. Estos análisis permiten determinar parámetros como viscosidad, módulos elástico y viscoso (G′ y G″), tensión de fluencia, flujo no newtoniano, tixotropía y transiciones viscoelásticas. Este tipo de análisis proporciona una comprensión profunda de las relaciones entre estructura y propiedades. 

Además, se dispone de equipos para determinar el Índice de Fluidez en Fundido (MFI), para evaluar la viscosidad en fundido y la procesabilidad de materiales termoplásticos vírgenes y reciclados, siguiendo normas internacionales (ISO 1133). Esta combinación de análisis reométricos y MFI ofrece una visión integral tanto de la movilidad molecular como de las características de procesamiento.","The University of Aveiro offers facilities and expertise for rheological characterization of materials. Rheological analysis provides essential information on the flow and deformation behavior of materials, enabling the optimization of formulations and processing conditions for polymers and composite systems and behavior during recycling. 

UA is equipped with rotational and oscillatory rheometers capable of performing steady-shear, dynamic, and viscoelastic measurements under controlled temperature and environmental conditions. These analyses allow the determination of key parameters such as viscosity, storage and loss moduli (G′ and G″), yield stress, non-Newtonian flow, thixotropy, and viscoelastic transitions across wide temperature and shear ranges. This analysis provide deep insight into the structure–property relationships. 

Additionally, Melt Flow Index (MFI) equipment for assessing the melt viscosity and processability of both virgin and recycled thermoplastic materials, following international standards (e.g., ISO 1133). This combination of rheometric and MFI analyses provides a comprehensive understanding of both molecular mobility and processing characteristics.","Evaluación de procesabilidad de polímeros vírgenes y reciclados 

Control de calidad en procesos de extrusión e inyección 

Diseño de materiales y compuestos con propiedades reológicas específicas 

Correlación entre propiedades reológicas y reciclabilidad","Processability assessment of virgin and recycled polymers 

Quality control for extrusion and injection molding 

Evaluation of thermal and mechanical degradation 

Development of materials and composites with tailored rheology 

Correlation between rheological behavior and recyclability 

","https://www.dropbox.com/scl/fo/ndu8h5ksp7spe78bfvib3/ALAN_rdw8C4F1hg5_LES614?rlkey=y12jaz4h6kwmwxg2zlr52f8ku\&st=q2sivksa\&dl=0","Reología / Rheology  Viscosidad / Viscosity  Fluidez / Flowability","Paula Ferreira, pcferreira@ua.pt, Department of Materials and Ceramic Engineering"
"5",5,"Universidade De Aveiro","Análisis térmico de polímeros","Thermal analysis of polymers","Caracterización térmica mediante TGA, DSC, DTA, conductividad y difusividad","Thermal characterization using TGA, DSC, DTA, conductivity and diffusivity","La Universidad de Aveiro (UA) dispone de amplia experiencia y modernas instalaciones para la caracterización térmica de materiales. El equipamiento disponible incluye analizadores termogravimétricos (TGA), calorímetros diferenciales de barrido (DSC) y analizadores térmicos diferenciales (DTA), junto con instrumentos para la medición de la conductividad y difusividad térmica. Estas técnicas permiten determinar con precisión parámetros clave como la temperatura de transición vítrea (Tg), el punto de fusión (Tm), el comportamiento de cristalización, la degradación térmica y la capacidad calorífica, proporcionando información esencial sobre el rendimiento de los materiales. Asimismo, se dispone de técnicas complementarias para la medición de la conductividad y efusividad térmica, que permiten una evaluación integral de las propiedades de transferencia de calor y aislamiento térmico. 

Este análisis puede utilizarse para evaluar el comportamiento y la reciclabilidad de los plásticos, ya que estas propiedades determinan las condiciones de procesamiento, permiten detectar la degradación y revelar la contaminación o los efectos de los aditivos, contribuyendo así a una economía circular.","The University of Aveiro possesses expertise and facilities for the thermal characterization of materials.Available equipment includes thermogravimetric analyzers (TGA), differential scanning calorimeters (DSC), and differential thermal analyzers (DTA), along with instruments for measuring thermal conductivity and diffusivity. These techniques enable precise determination of key parameters such as glass transition temperature (Tg), melting point (Tm), crystallization behavior, thermal degradation, and heat capacity, providing critical insight into material performance under various thermal conditions. Complementary techniques such as thermal conductivity and effusivity measurements are also available, allowing comprehensive evaluation of heat transfer and insulation properties. These tools allow precise determination of thermal stability, phase transitions, heat capacity, and heat transfer properties.

This analysis could be used to evaluate the behavior and recyclability of plastics, since these properties determine processing conditions, detect degradation, and reveal contamination or additive effects, contributing to a more circular plastics economy.","Desarrollo de nuevos materiales; 

Control de calidad; 

Investigación en polímeros y compuestos; 

Optimización de procesos.","Development of new materials;  

Quality control;  

Research on polymers and composites. 

Process optimization","https://www.dropbox.com/scl/fo/kpkaaq48ji393vfevovvm/AKgLA-kIjaN5pPG9SJ0wcy8?rlkey=mmhmzdjqichaf8vgh8vk6tinn\&st=8z55d86f\&dl=0","Termogravimetría; calorimetría; conductividad térmica / Thermogravimetry; calorimetry; thermal conductivity","Paula Ferreira, pcferreira@ua.pt, Department of Materials and Ceramic Engineering"
"6",6,"Universidade De Aveiro","Revestimiento de superficies plásticas","Plastic surface coating","Desarrollo y estudio de recubrimientos funcionales aplicados por serigrafía, recubrimiento por cuchilla y por pulverización","Development and study of functional coatings applied by screen printing, doctor blade coating, and spray coating","La Universidade de Aveiro dispone de capacidades avanzadas para el desarrollo, análisis y optimización de recubrimientos funcionales sobre materiales plásticos mediante serigrafía, recubrimiento por cuchilla y spray coating. La infraestructura incluye sistemas de deposición, cámaras de humedad y temperatura controladas, equipos de curado térmico y UV, así como instrumentación avanzada para evaluar espesor, uniformidad y acabado superficial. Estas capacidades permiten investigar formulaciones de tintas y recubrimientos, estudiar la interacción con diferentes sustratos plásticos y apoyar proyectos de I+D orientados a envase, electrónica impresa, recubrimientos protectores y dispositivos funcionales.","The University of Aveiro offers advanced capabilities for the development, analysis, and optimization of functional coatings on plastic materials using screen printing, doctor blade coating, and spray coating. The infrastructure includes deposition systems, humidity- and temperature-controlled chambers, thermal and UV curing equipment, and advanced instrumentation for assessing thickness, uniformity, and surface finish. These capabilities enable the investigation of ink and coating formulations, the study of substrate–coating interactions, and support R\&D projects in packaging, printed electronics, protective coatings, and functional devices.","Desarrollo y evaluación de formulaciones de recubrimientos para aplicaciones funcionales. 
Estudio del comportamiento superficial y compatibilidad con diferentes sustratos plásticos. 
Análisis de espesor, uniformidad, adherencia y estabilidad de recubrimientos. 
Investigación de recubrimientos ópticos, barrera, protectores o conductores. 
Apoyo a proyectos de I+D en electrónica impresa y envase avanzado. 
Optimización de procesos de deposición para escalado laboratorio–piloto.","Development and assessment of coating formulations for functional applications. 
Study of surface behaviour and substrate compatibility in plastic materials. 
Analysis of coating thickness, uniformity, adhesion, and stability. 
Research on optical, barrier, protective, or conductive coatings. 
R\&D support for printed electronics and advanced packaging. 
Optimization of deposition processes from lab to pilot scale","https://www.dropbox.com/scl/fo/8sqn0t2wfk8195sxwgn9i/AIxLLWr1rzRHcnbWXeW8Sog?rlkey=bhtjfdods7wjpu8bejy59xip5\&st=rmfr75a4\&dl=0","Recubrimientos funcionales; Procesos de deposición; Superficies plásticas  / Functional coatings; Deposition processes; Plastic surfaces","Paula Ferreira, pcferreira@ua.pt"
"7",7,"Universidade De Aveiro","Propiedades mecánicas en plásticos","Mechanical properties of plastic materials","Evaluación de propiedades mecánicas mediante ensayos de tracción, compresión, flexión, dureza e impacto","Evaluation of mechanical properties through tensile, compression, flexural, hardness, and impact testing","La Universidade de Aveiro dispone de capacidades avanzadas para el estudio del comportamiento mecánico de materiales plásticos, combinando conocimiento especializado y equipamiento de precisión. La infraestructura permite evaluar propiedades como resistencia, rigidez, ductilidad, impacto y dureza en polímeros vírgenes, reciclados, compuestos o modificados, bajo diferentes condiciones ambientales. Esta capacidad se integra con análisis morfológico, térmico y químico, posibilitando correlaciones entre microestructura, procesado y rendimiento mecánico. El conocimiento generado es clave para desarrollar nuevas formulaciones, optimizar procesos y comprender cómo la estructura y el reciclado influyen en la integridad del material.","The University of Aveiro has advanced capabilities for studying the mechanical behavior of plastic materials, combining specialized expertise with high-precision equipment. The infrastructure enables the evaluation of strength, stiffness, ductility, impact resistance, and hardness in virgin, recycled, composite, and modified polymers under controlled environmental conditions. This capability integrates with morphological, thermal, and chemical analysis, allowing correlations between microstructure, processing, and mechanical performance. The generated knowledge supports the development of new formulations, process optimization, and understanding how structure and recycling affect material integrity.","Caracterización de propiedades mecánicas en polímeros vírgenes, reciclados, compuestos y modificados. 
Correlación entre comportamiento mecánico, microestructura, procesado y composición del material. 
Evaluación del efecto de reciclado, envejecimiento, aditivos o refuerzos en la integridad estructural. 
Apoyo a estudios de desarrollo de nuevas formulaciones y optimización de procesos poliméricos. 
Integración con análisis morfológico, térmico y reológico para comprensión multiescala del material. 
Generación de datos fundamentales para modelización, certificación o validación en investigación y transferencia tecnológica.","Mechanical characterization of virgin, recycled, composite, and modified polymer materials. 
Correlation of mechanical behavior with microstructure, processing conditions, and material composition. 
Assessment of the effects of recycling, ageing, additives, or reinforcements on structural integrity. 
Support for studies on new material formulations and optimization of polymer processing routes. 
Integration with morphological, thermal, and rheological analyses for multiscale material understanding. 
Generation of fundamental data for modelling, validation, certification, and research-driven innovation.","https://www.dropbox.com/scl/fo/xf90js0cb3zafeua3fh3j/AFd7T9sssXSdvmNTKu5TiYg?rlkey=h3429va0cheuv0pa67aqmzp4e\&st=0hw5qz51\&dl=0","Propiedades mecânicas; Caracterización; Polímeros / Mechanical properties; Characterization; Polymers","Paula Ferreira, pcferreira@ua.pt"
"8",8,"Universidade De Aveiro","Análisis estructural de materiales poliméricos","Structural analysis of polymeric materials","Capacidades avanzadas para estudiar la estructura química, cristalinidad y degradación en materiales poliméricos.","Advanced capabilities for studying chemical structure, crystallinity and degradation in polymeric materials","La Universidade de Aveiro dispone de capacidades avanzadas para la caracterización estructural de materiales poliméricos mediante difracción de rayos X (XRD), espectroscopía FTIR, Raman y técnicas complementarias como DSC, TGA, UV-Vis, RMN y análisis elementales. Esta infraestructura permite estudiar estructura química, cristalinidad, orden molecular y procesos de degradación o envejecimiento, así como evaluar el efecto del procesado y reciclado en la estructura de los materiales. Estas capacidades apoyan actividades de I+D en formulación, compatibilidad, reciclabilidad y desarrollo de soluciones en el ámbito de la economía circular.","The University of Aveiro offers advanced capabilities for the structural characterisation of polymeric materials using X-ray diffraction (XRD), FTIR spectroscopy, Raman spectroscopy and complementary techniques such as DSC, TGA, UV-Vis, NMR and elemental analysis. This infrastructure enables the study of chemical structure, crystallinity, molecular order and degradation or aging processes, as well as the assessment of processing and recycling effects on material structure. These capabilities support R\&D activities in formulation, compatibility, recyclability and the development of solutions within a circular-economy framework.","Estudio de cristalinidad, fases y estructura molecular en polímeros. 
Análisis químico y determinación de grupos funcionales. 
Evaluación de degradación térmica, oxidativa o fotoquímica. 
Investigación de compatibilidad y miscibilidad en mezclas y compuestos. 
Análisis del efecto del procesado y re-procesado en la estructura. 
Desarrollo y optimización de formulaciones para aplicaciones técnicas. 
Apoyo a proyectos de I+D en reciclado y economía circular.","Study of crystallinity, phases and molecular structure in polymers. 
Chemical analysis and functional-group determination. 
Evaluation of thermal, oxidative and photochemical degradation. 
Investigation of compatibility and miscibility in blends and composites. 
Assessment of processing and reprocessing effects on structure. 
Development and optimisation of formulations for technical applications. 
R\&D support for recycling and circular-economy initiatives.","https://www.dropbox.com/scl/fo/1yobvb3h1vyr6vlojq8ne/AIZ1t-_fz-tOOV-088K2WCs?rlkey=u3vxy52nqs3qyv3kguaat1imd\&st=sxlsjs5s\&dl=0","Caracterización estructural; Materiales poliméricos; Reciclado / Structural characterisation; Polymeric materials; Recycling","Paula Ferreira, pcferreira@ua.pt"
"9",9,"Universidade De Aveiro","Deseño de compostos termoplásticos","Design of thermoplastic compounds","Desarrollo y optimización de compuestos termoplásticos y funcionales con control reológico en tiempo real.","Development and optimization of thermoplastic and functional compounds with real-time rheological control.","La Universidade de Aveiro dispone de capacidades avanzadas de compounding orientadas al mezclado, dispersión y optimización de formulaciones termoplásticas y funcionales, apoyando la transferencia de conocimiento y el desarrollo de materiales sostenibles dentro de cadenas de valor circulares. El procesado se realiza mediante sistemas de mezcla y extrusión con control preciso de par, velocidad y temperatura, integrados con software de monitorización reológica que registra par de torsión, viscosidad de fusión y tensión de cizalla en tiempo real. Estas capacidades permiten procesar desde pequeñas cantidades (50 g) hasta varios kilogramos (en batch) a escala piloto, facilitando el ajuste de formulaciones con aditivos, refuerzos o polímeros reciclados, así como la evaluación de compatibilidad, homogeneidad y estabilidad térmica. Los resultados incluyen compuestos optimizados en forma de granulado o filamento, listos para procesado posterior o validación piloto, garantizando reproducibilidad, trazabilidad y escalabilidad industrial.","The University of Aveiro offers advanced compounding capabilities focused on the blending, dispersion, and optimization of thermoplastic and functional formulations, supporting knowledge transfer and the development of sustainable materials within circular value chains. 

Processing is performed using mixing and extrusion systems with precise control of torque, speed, and temperature, integrated with rheological monitoring software that records torque, melt viscosity, and shear stress in real time. These capabilities enable processing from small quantities (50 g) up to several kilograms (in batch) at pilot scale, allowing formulation adjustment with additives, reinforcements, or recycled polymers, and evaluation of compatibility, homogeneity, and thermal stability. The outcomes include optimized compounds in granule, sheet, or microfilament form, ready for further processing or pilot validation, ensuring reproducibility, traceability, and industrial scalability.","Optimización de formulaciones termoplásticas o recicladas para procesabilidad industrial. 
Producción de compuestos homogéneos para validación de propiedades mecánicas o térmicas. 
Evaluación de estabilidad térmica y control de calidad reproducible. 
Ensayos de compatibilidad y dispersión de aditivos o refuerzos.","Optimization of thermoplastic or recycled formulations for industrial processability. 
Production of homogeneous compounds for mechanical or thermal performance validation. 
Evaluation of thermal stability and reproducible quality control. 
Compatibility and dispersion testing of additives or reinforcements.","https://www.dropbox.com/scl/fo/73kmz0xbdicmsuirn0stj/ACjYJqEZPThggt5K3VsVm-M?rlkey=uxxfj8yp1jmxfklfziu7ho3ie\&st=6ipts3qo\&dl=0","ES: Compounding; Termoplásticos; Economía circular   EN: Compounding; Thermoplastics; Circular economy","Paula Ferreira, pcferreira@ua.pt"
"10",10,"Universidade De Aveiro","Extrusión de polímeros","Polymer extrusion","Desarrollo de formulaciones circulares y compuestos funcionales a escala laboratorio y piloto mediante extrusión mono y doble husillo","Development of circular formulations and functional compounds at lab and pilot scale via single- and twin-screw extrusion","La Universidade de Aveiro dispone de capacidades avanzadas de extrusión orientadas a fortalecer la transferencia tecnológica universitaria y apoyar las cadenas de valor circulares de plásticos. Estas capacidades permiten el desarrollo, optimización y escalado piloto (en continuo) de formulaciones termoplásticas y compuestos funcionales, utilizando extrusoras mono y doble husillo con control preciso de temperatura, par y velocidad. El equipamiento disponible posibilita compounding, extrusión reactiva y formulación de materiales con cargas minerales, aditivos activos o polímeros reciclados, aplicables a procesos de inyección, filmación o impresión 3D. Estas capacidades permiten procesar materiales a escala laboratorio y piloto, generando filamentos, láminas, películas y tubos finos, con desempeño validado y entrega de resultados en formato digital junto con las muestras producidas. Los resultados incluyen materiales optimizados listos para validación industrial o colaborativa, garantizando trazabilidad, reproducibilidad y escalabilidad del proceso.","The University of Aveiro provides advanced extrusion capabilities designed to strengthen technology transfer and support circular economy value chains for plastics. These capabilities enable R\&D and pilot-scale (continuous) development of thermoplastic formulations and functional compounds using single- and twin-screw extruders with precise temperature, torque, and screw-speed control. The available equipment allows compounding, reactive extrusion, and formulation of materials with mineral fillers, active additives, or recycled polymers, suitable for injection molding, film casting, or 3D printing. Processing can be performed at laboratory and pilot scale, generating filaments, sheets, films, and thin tubes with validated performance and digital delivery of results together with the produced samples. The outcomes include optimized materials ready for industrial or collaborative validation, ensuring traceability, reproducibility, and industrial scalability.","Desarrollo y optimización de formulaciones termoplásticas y recicladas. 
Extrusión reactiva para compatibilización o injertos. 
Evaluación de procesabilidad y estabilidad térmica. 
Producción de filamentos, láminas, películas o tubos finos. 
Escalado desde laboratorio hasta validación piloto.","Development and optimization of thermoplastic and recycled formulations. 
Reactive extrusion for compatibilization or grafting. 
Processability and thermal stability evaluation. 
Production of filaments, sheets, films, or thin tubes. 
Upscaling from lab to pilot validation.","https://www.dropbox.com/scl/fo/16329b6cxhe82huzvvqmu/APeeKxbNepsGsIDhPyvnGkU?rlkey=ewwi0dr1p6p8i82deonpeu56b\&st=op2ct9yz\&dl=0","ES: Extrusión; Termoplásticos; Economía circular   EN: Extrusion; Thermoplastics; Circular economy","Paula Ferreira, pcferreira@ua.pt"
