"","ID","HEI","Title-ES","Title-EN","Content-ES","Content-EN","Description-ES","Description-EN","Area","Modality","Target","Level","Workload","Language","Photo","Evaluation","Certification","Keywords","Contact"
"1",1,"Universidade De Aveiro","Recursos y tecnologías de bioplásticos","Bioplastics Resources and Technologies","Recursos y tecnologías de bioplásticos es una titulación universitaria acreditada destinada a responder a las nuevas necesidades del mercado mediante la oferta de un curso a medida para actualizar y profundizar las competencias de personas que trabajan en empresas que gestionan subproductos agroalimentarios, así como en empresas dedicadas a la producción de formulaciones y bioplásticos en diferentes formatos.","Bioplastics Resources and Technologies is an university-accredited qualification to respond to new market needs by providing a tailor-made course to update and deepen the skills of persons working in companies possessing agri-food byproducts, and in companies producing formulations and bioplastics in different forms.","Esta microcredencial tiene como objetivo abordar los retos de los bioplásticos, promoviendo e implementando actividades de formación, divulgación y fomento de la investigación centradas en el ámbito de los materiales bioplásticos. Al finalizar la microcredencial, cada estudiante deberá ser capaz de:
O1. Identificar biopolímeros de interés para la producción de bioplásticos.
O2. Identificar fuentes de biopolímeros, en particular subproductos de la industria agroalimentaria, y definir metodologías para la estabilización y extracción de biomoléculas de interés.
O3. Implementar, en función de las características de cada biopolímero, las modificaciones necesarias en las formulaciones y en la aplicación de las tecnologías de procesado actuales.
O4. Conocer los principales tipos y características de los bioplásticos, la situación actual del mercado y las tendencias futuras.
La docencia se desarrolla en un régimen híbrido, combinando enseñanza presencial y a distancia, aprendizaje basado en problemas, estrategias de resolución de problemas y sesiones prácticas en laboratorio y plantas piloto. Las clases teóricas se imparten en modalidad en línea (5 h) y las prácticas (20 h) se realizan predominantemente bajo un régimen tutorial, centradas en sesiones experimentales de trabajo con los equipos y sistemas de procesado, con el apoyo del profesorado.","This microcredential intends to fulfill the challenges of bioplastics, fostering and implementing training, dissemination, and research promotion activities focused on the field of bioplastic materials. At the end of the microcredential, each student must be able to:
O1. Identify biopolymers of interest for the production of bioplastics.
O2. Identify sources of biopolymers, namely byproducts from agrofood industries,
define methodologies for stabilization and extraction of biomolecules of interest.
O3. Implement, based on the characteristics of each biopolymer, the necessary modifications in formulations and in the application of current processing technologies.
O4. Know the main types and characteristics of bioplastics, current market situation and
future trends.
The teaching take place in a hybrid regime: face-to-face and distance learning, problembased leaning, problem-solving strategy, practical sessions at laboratory and pilot-plants. The theoretical classes are online (5h) and the practical ones (20h) are predominantly under a tutorial regime, focused on working experimental sessions with the equipment and processing systems, supported by the teachers.","Plásticos y polímeros","Virtual - Sincrónico, Presencial","Operarios / técnicos, Estudiantes de posgrado, Profesionales de la industria","Avanzado","25 h","Português/English","https://www.dropbox.com/scl/fo/1a06goxgts59rtybq7s4u/ANshhcO-5S0EJbbhVcNS9hE?rlkey=bm5lwf0w7p9mszyb87wnp6wp7\&st=891z4g9i\&dl=0","Evaluación mediante informe final, su presentación y discusión./ Assessment by final report, its presentation and discussion.","Aprobación","Economía circular; Procesado; Caracterización/Circular Economy; Processing; Characterization","Paula Ferreira (pcferreira@ua.pt)"
"2",2,"Universidade De Aveiro","Plásticos sostenibles: desde las materias primas hasta el diseño de productos","Sustainable Plastics - from feedstocks to product design","El curso Plásticos sostenibles: desde materias primas naturales hasta el diseño de productos es una titulación acreditada por la universidad destinada a responder a nuevas oportunidades de movilidad, y ofrece un curso intensivo de modalidad mixta (virtual y presencial) que brinda a los estudiantes la oportunidad de adquirir competencias para desarrollar e implementar un proyecto experimental.","The Sustainable Plastics - from natural raw materials to product design course is a qualification accredited by the university to respond to new mobility opportunities, offering a mixed (virtual and face-to-face) intensive course to give students the opportunity to gain skills to implement an experimental project.","El cambio climático y la creciente conciencia sobre la necesidad de modificar el actual paradigma del uso de plásticos fósiles han hecho urgente encontrar soluciones alternativas que reduzcan la huella ecológica y respondan a los desafíos actuales del Green Deal, alineándose con la Agenda 2030 y los objetivos de desarrollo sostenible de las Naciones Unidas.
En este contexto, el micromódulo Plásticos sostenibles: desde materias primas naturales hasta el diseño de productos tiene como objetivo proporcionar los conceptos y conocimientos de investigación sobre el reto de crear productos poliméricos avanzados a partir de recursos renovables, naturales y sostenibles. En particular, el micromódulo ofrecerá formación en: ciencia y tecnología de materiales poliméricos y compuestos que faciliten competencias directamente aplicables en el ámbito laboral; reutilización de residuos industriales para un diseño circular; tecnologías de procesamiento de plásticos tradicionales y emergentes; caracterización avanzada de materiales poliméricos; y fabricación de plásticos sostenibles orientada al diseño y la funcionalidad.
El curso está diseñado para otorgar 3 ECTS (81 horas de contacto en total) y generar el conocimiento práctico necesario para enfrentar los desafíos de los bioplásticos dentro de la economía circular en la industria de fabricación de plásticos.","Climate change and the growing awareness of the need to change the current paradigm of the use of fossil plastics have made it urgent to find alternative solutions that reduce the ecological footprint and meet the current challenges of the Green Deal and aligned with Agenda 2030 and the development goals of the United Nations sustainability. 
In this context, the Sustainable Plastics - from natural raw materials to product design micromodule aims to provide the concepts and research on the challenge of creating advanced polymeric products from renewable, natural, and sustainable resources. Specifically, the micromodule will provide knowledge in: polymeric and composite materials science and technology that enable job-ready skills; industrial waste reuse for circular design; traditional and emerging plastics processing technologies; advanced polymeric materials characterization; design and functionality-oriented sustainable plastic manufacturing. 
The course is planned to have 3 ECTS (81 total contact hours) to generate the know-how adapted to the challenges of bioplastics within the circular economy in the plastics manufacturing industry. 
","Plásticos y polímeros","Virtual - Sincrónico, Presencial","Estudiantes de posgrado","Intermedio","81 h","English","https://www.dropbox.com/scl/fo/1k3od6cs06sdplkkikba9/ABE34KCjeJSbTq__p2Plgj0?rlkey=ymg8kckxxjv56frso49osu0wi\&st=eexf2xha\&dl=0","Evaluación mediante informe final, su presentación y discusión/ Assessment by final report, its presentation and discussion.","Aprobación","Evaluación del ciclo de vida; fabricación; aprendizaje basado en proyectos/Life cycle assessment; manufacturing; project-based learning","Paula Ferreira (pcferreira@ua.pt)"
"3",3,"Universidade De Aveiro","UACOOPERA - Cooperación y transferencia de conocimiento","UACOOPERA - Cooperation and knowledge transfer","Fomentar una cultura de innovación y transferencia de conocimiento, apoyando al ámbito académico en la resolución de desafíos y en la provisión de soluciones para las empresas y la sociedad en general.","Fostering a culture of innovation and knowledge transfer, while supporting the academic community in addressing challenges and providing solutions for business and society in general.","UA-COOPERA promueve la valorización y transferencia del conocimiento generado en el ámbito académico hacia la sociedad, fomentando una estrecha colaboración con el sector empresarial y otras instituciones regionales.","UA-COOPERA promotes the valorization and transfer of knowledge generated within the Academy to society, fostering close collaboration with the entrepreneurial sector and other regional institutions.","Innovación y tecnología, Entrepreneurship and Business Support/ Intellectual Property and Commercialization","Presencial, In Company","Profesionales de la industria","Avanzado","not applicable","Português/English","https://www.dropbox.com/scl/fo/zk3kksdibsuh5h136guze/AKut9JWVHf68ZGR-oiHBWlc?rlkey=fn4hzmoa99gmqesrxl6rj76d8\&st=yehtfzgx\&dl=0","not applicable","Otra","Emprendimiento; Propiedad intelectual; Transferencia de conocimiento/ Entrepreneurship; Intellectual Property; Knowledge transfer","Paula Ferreira (pcferreira@ua.pt)"
"4",4,"Universidad De Santiago De Chile","Diplomado Economía Circular","Circular Economy Diploma","El Diplomado en Economía Circular aborda los fundamentos y principios de la economía circular desde una perspectiva sistémica, considerando la emergencia climática y la transición hacia modelos de desarrollo sustentables. Integra contenidos sobre innovación y diversificación productiva, herramientas y metodologías para la implementación de la economía circular en sistemas productivos, diseño y evaluación de modelos de negocio circulares, y el enfoque de territorios circulares, incluyendo políticas públicas, gestión local, simbiosis industrial y colaboración entre sector público, privado y ciudadanía, culminando con el desarrollo de un proyecto aplicado de economía circular.","The Circular Economy Diploma Program covers the fundamentals and principles of the circular economy from a systems-thinking perspective, addressing climate emergency challenges and sustainable development transitions. It includes innovation and productive diversification, tools and methodologies for implementing circular economy practices in productive systems, design and assessment of circular business models, and the concept of circular territories, encompassing public policy, local governance, industrial symbiosis, and multi-stakeholder collaboration, concluding with the development of an applied circular economy project.","Modalidad virtual con actividades sincrónicas y asincrónicas (total 180 horas), con clases expositivas, actividades individuales y trabajo colaborativo; cada módulo considera una clase sincrónica de coordinación/intercambio y una charla/conferencia especializada.","Online program combining synchronous and asynchronous activities (180 total hours), including lectures, individual tasks and collaborative work; each module includes a synchronous coordination session plus a specialized talk/lecture.","Medioambiente, Innovación y tecnología","Virtual - Sincrónico","Estudiantes de grado, Estudiantes de posgrado, Profesionales de la industria","Avanzado","180","Español","https://drive.google.com/file/d/1_e0pd4YxyiR56fv6T1NRDCm0mTS-VSrc/view?usp=drive_link","Trabajos colaborativos.","Aprobación, Participación/Asistencia","economía circular, visión sistémica, innovación, modelos de negocio circulares, simbiosis industrial, territorios circulares,","economiacircular@usach.cl"
"5",5,"Universidad De Santiago De Chile","Economía Circular.","Circular Economy","El curso aborda la economía circular como la optimización de recursos materiales bajo criterios de sustentabilidad, incorporando el enfoque de “residuo cero” o reintroducción de materiales en sistemas productivos, considerando desafíos tecnológicos y financieros y un reordenamiento industrial y social; la metodología incluye revisión de casos reales aplicados (OCDE) con referencia a PYMES del País Vasco (Euskadi), cubriendo aspectos metodológicos de implementación de planes, ejecución y presentación de resultados en gestión de residuos.","The course covers circular economy as the optimization of material resources under sustainability criteria, including the “zero waste” approach or reintegration of materials into productive systems, considering technological and financial challenges and broader industrial/social reorganization; it also reviews real implementation cases (OECD), using Basque Country SMEs (Euskadi) as reference, focusing on methods for plan implementation, execution, and results reporting in waste management","Modalidad e-learning, con relatoría que expone casos reales y explicaciones metodológicas (implementación, ejecución y resultados), en horario vespertino.","E-learning delivery, with instruction based on real case studies and methodological explanations (implementation, execution, and results), scheduled in the evening.","Medioambiente","Virtual - Sincrónico","Estudiantes de grado, Estudiantes de posgrado, Profesionales de la industria","Introductorio / básico","40","Español","https://drive.google.com/file/d/1UKBzDjnZ1lKeqfz8eAlBYNpilvaTuv9b/view?usp=drive_link","Evaluaciones escritas, orales y/o prácticas.","Aprobación","economía circular, residuo cero, gestión de residuos,","capacitacionlaserena@usach.cl"
"6",6,"Universidad De Santiago De Chile","Técnicas de gestión y reducción del impacto medio ambiental de envases y embalajes","echniques for Managing and Reducing the Environmental Impact of Packaging and Packagings","El curso aborda conceptos de sostenibilidad y economía circular aplicados a envases y embalajes, la clasificación de nuevos materiales de envase con menor impacto ambiental, y la aplicación de criterios y responsabilidades asociados a biodegradabilidad, compostabilidad y ecotoxicidad de materiales de envases, en concordancia con la Ley 20.920 (Ley REP) para productores de envases y embalajes.","The course covers sustainability and circular economy concepts for packaging, how to classify new lower-impact packaging materials, and how to apply responsibilities and concepts related to biodegradability, compostability, and ecotoxicity of packaging materials, aligned with Chile’s Law 20.920 (Extended Producer Responsibility / “Ley REP”) for packaging producers.","Modalidad E-learning, dictado en 4 sesiones","E-learning delivery in 4 sessions","Plásticos y polímeros, Gestión y seguridad","Virtual - Sincrónico","Operarios / técnicos, Profesionales de la industria","Introductorio / básico","8","Español","https://drive.google.com/file/d/1rBxOS_hnzM1gt1ENh-kDDcjF802B0ltw/view?usp=drive_link","Asistencia","Participación/Asistencia","economía circular, envases, embalajes, materiales de envase, Ley REP","sara.martinez@usach.cl"
"7",7,"Universidad Nacional Del Sur","Clasificación de Plásticos y Reciclado Mecánico","Basic Training on Plastic Classification and Mechanical Recycling","El curso aborda temas básicos como qué son los plásticos y cómo se comportan bajo diferentes condiciones, y por qué es importante no mezclarlos. También incluye contenidos relacionados con la clasificación de plásticos mediante técnicas accesibles, los conceptos fundamentales y criterios del reciclado mecánico, y los procedimientos de seguridad que deben considerarse durante el proceso. Además, se analizará el rol ambiental de las actividades de separación dentro de la economía circular de estos materiales.","The course covers basic topics such as what plastics are and how they behave under different conditions, and why it is important not to mix them. It also includes topics related to plastic classification using accessible techniques, fundamental concepts and criteria of mechanical recycling, and safety procedures to be considered during the process. In addition, the environmental role of sorting activities within the circular economy of these materials will be analyzed.","La capacitación adopta un enfoque participativo basado en la
experiencia de los participantes, utilizando situaciones reales de
trabajo. Se priorizan recursos visuales, ejemplos concretos y
actividades prácticas con materiales reales. La metodología combina
exposiciones breves, dinámicas grupales y ejercicios de
identificación y clasificación de plásticos, adaptados al contexto
operativo.","The training adopts a participatory approach that incorporates the specific
experience of the participants. Guiding questions will be used to facilitate
understanding and engagement with the content through real work
situations. Emphasis will be placed on visual resources, concrete examples,
and hands-on activities with real materials, encouraging learning through
observation, comparison, and collective reflection. Throughout the sessions,
efforts will be made to connect technical knowledge with the participants’
everyday experience, creating a space for joint knowledge building. The
methodology combines short presentations, group dynamics, exercises for
identifying and classifying plastics, and the development of simple sorting
guidelines, all adapted to the operational context of the
company/cooperative. This approach aims to strengthen key technical skills
for improving separation and recovery processes, while promoting more
efficient and environmentally responsible practices.","Plásticos y polímeros, Medioambiente","In Company","Operarios / técnicos, Profesionales de la industria","Introductorio / básico","5hs día - 2 días","5hs/día - 2 días","https://drive.google.com/file/d/1xtecUCYLRiLJnNfHLN0c8oEoU_xxL0ht/view?usp=drive_link","Se utilizarán herramientas lúdicas e interactivas para reforzar los conceptos aprendidos / Interactive recreational tools will be used to reinforce the concepts learned.","Aprobación, Participación/Asistencia","RESIDUOS PLÁSTICOS, RECICLAJE, SOSTENIBILIDAD / PLASTIC WASTE, RECYCLING, SUSTAINABILITY","ott@plapiqui.edu.ar"
"8",8,"Universidad Nacional Del Sur","Métodos de Análisis de Polímeros","Polymer Testing Methods","Diseño de cursos ad-hoc para cubrir las necesidades específicas de tecnólogos, estudiantes, ingenieros de diseño e investigadores. Los métodos de ensayo abarcados se enfocan en la caracterización de todo tipo de propiedades físicas y químicas, incluidas las pruebas mecánicas, ópticas, térmicas, de barrera y procesabilidad.","Ad-hoc courses tailored to cover the specific needs of materials technologists, students, design engineers and researchers. The testing methods covered are focused on the characterization of the whole range of physical and chemical properties, including mechanical, optical, thermal, barrier and processability tests.","El curso se dicta mediante clases estructuradas que pueden
desarrollarse de manera presencial o virtual. Se fomenta la
participación activa mediante discusiones guiadas, preguntas e
intercambios interactivos para promover una comprensión más
profunda.","The course is delivered through structured lectures that may be
conducted either in person or virtually. Sessions include
comprehensive presentations of the developed topics. Active
participant engagement is encouraged through guided discussions,
questions, and interactive exchanges to promote deeper
understanding.","Plásticos y polímeros","Presencial","Operarios / técnicos, Estudiantes de grado, Estudiantes de posgrado, Profesionales de la industria","Introductorio / básico","-","Español","https://drive.google.com/file/d/1yZRCqHDvq6hous_Yqsyg_kl4grknkyrV/view?usp=drive_link","Los participantes serán evaluados mediante un examen final y/o un trabajo final integrador, diseñado para evaluar tanto la comprensión conceptual como la capacidad de aplicar los conocimientos adquiridos a escenarios prácticos. / Participants will be evaluated through a final examination and/or a comprehensive integrative final project, designed to assess both conceptual understanding and the ability to apply acquired knowledge to practical scenarios.","Participación/Asistencia","CARACTERIZACIÓN DE POLÍMEROS, MÉTODOS ANALÍTICOS, PROPIEDADES FÍSICAS Y QUÍMICAS / POLYMER CHARACTERIZATION TECHNIQUES, ANALYTICAL METHODS, PROCESSABILITY TESTS","ott@plapiqui.edu.ar"
"9",9,"Universidad Nacional Del Sur","Procesos Poliméricos","Polymer Processes","Cursos ad-hoc que se adapta a necesidades específicas. Los posibles contenidos incluyen: polimerización radicalaria convencional y controlada; procesos Ziegler-Natta y metalocénicos; polimerización por etapas; medición y predicción de distribuciones de peso molecular; copolímeros; polimerizaciones en masa, suspensión, emulsión, solución, fase gaseosa y otras tecnologías; modificación post-reactor: reología controlada, funcionalización, degradación, ejemplos industriales de procesos poliméricos.","Ad-hoc courses for each interested party, tailored to its specific needs. Possible contents include: conventional and controlled free radical polymerization; Ziegler-Natta and metallocenic processes; stepwise polymerization; measurement and prediction of molecular weight distributions; copolymers; polymerizations in mass, suspension, emulsion, solution, gas-phase and other technologies; post-reactor modification: controlled rheology, functionalization, degradation, industrial examples of polymer processes.","El curso se dicta mediante clases presenciales o virtuales. Se
fomenta la participación activa mediante discusiones guiadas,
preguntas e intercambios interactivos. Se realiza una sesión práctica
que permite a los participantes aplicar los conceptos abordados
durante el curso en un contexto práctico y fortalecer sus habilidades
técnicas mediante la experiencia directa.","The course is delivered through structured lectures that may be
conducted either in person or virtually. Active participant
engagement is encouraged through guided discussions, questions,
and interactive exchanges to promote deeper understanding. A
practical session will be conducted, allowing participants to apply the
concepts covered during the course in a hands-on context and to
strengthen their technical skills through direct experience.","Plásticos y polímeros","Presencial","Estudiantes de posgrado, Profesionales de la industria","Intermedio","-","Español","https://drive.google.com/file/d/1q3aG0LNGI2H_uid0Od01La1UAhEcwx2P/view?usp=drive_link","Los participantes serán evaluados mediante un examen final y/o un trabajo final integrador / Participants will be evaluated through a final examination and/or a comprehensive integrative final project.","Aprobación, Participación/Asistencia","POLIMERIZACIÓN, DISTRIBUCIÓN DE PESOS MOLECULARES MODIFICACIÓN POSTREACTOR / POLYMERIZATION PROCESSES, MOLECULAR WEIGHT DISTRIBUTION, POST-REACTOR MODIFICATION","ott@plapiqui.edu.ar"
"10",10,"Universidad Nacional Del Sur","Arquitectura Macromolecular","Macromolecular Architectures","La arquitectura macromolecular involucra la síntesis, el diseño y el desarrollo de polímeros “a medida” mediante diferentes métodos sintéticos. En este curso se cubrirán diferentes tópicos de la Ciencia de Polímeros relacionados con la síntesis, desde las polimerizaciones mediante crecimiento en etapas o en cadena hasta las recientes radicalarias, y caracterización de estructuras macromoleculares complejas.","Macromolecular architectures involve synthesis, design and development of tailor-made polymers by employing different synthetic methods. From conventional step-growth or chain-growth to latest controlled radical polymerizations, in this course different Polymer Science topics regarding the synthesis and characterization of complex macromolecular structures are covered.","El curso se dicta mediante clases presenciales o virtuales. Se
fomenta la participación activa mediante discusiones guiadas,
preguntas e intercambios interactivos para promover una
comprensión más profunda.","The course is delivered through structured lectures that may be
conducted either in person or virtually. Sessions include
comprehensive presentations of the developed topics. Active
participant engagement is encouraged through guided discussions,
questions, and interactive exchanges to promote deeper
understanding.","Plásticos y polímeros","Virtual - Sincrónico, Virtual - Asincrónico, Presencial","Estudiantes de posgrado, Profesionales de la industria","Intermedio","-","Español","https://drive.google.com/file/d/18dQ1I324JIaYgCW5ApGnyOMpwWkMKa-o/view?usp=drive_link","Los participantes serán evaluados mediante un examen final y/o un trabajo final integrador, diseñado para evaluar tanto la comprensión conceptual como la capacidad de aplicar los conocimientos adquiridos a escenarios prácticos. / Participants will be evaluated through a final examination and/or a comprehensive integrative final project, designed to assess both conceptual understanding and the ability to apply acquired knowledge to practical scenarios.","Aprobación, Participación/Asistencia","SÍNTESIS AVANZADA, POLÍMEROS A MEDIDA ESTRUCTURA MACROMOLECULAR / ADVANCED POLYMER SYNTHESIS, TAILOR-MADE POLYMERS, CONTROLLED AND LIVING POLYMERIZATION","ott@plapiqui.edu.ar"
