"","ID","HEI","Title-ES","Title-EN","Subtitle-ES","Subtitle-EN","Description-ES","Description-EN","Technical-ES","Technical-EN","Applications-ES","Applications-EN","Photo","Keywords","Contact"
"1",1,"Universidade De Aveiro","Análisis estructural de materiales plásticos","Structural analysis of plastic materials","Caracterización estructural mediante XRD, FTIR, Raman y técnicas complementarias.","Structural characterisation using XRD, FTIR, Raman and complementary techniques.","El servicio técnico de análisis estructural permite identificar fases, grupos funcionales y grados de cristalinidad en materiales poliméricos mediante XRD, FTIR, Raman y técnicas complementarias como DSC, TGA, UV-Vis, RMN y análisis elementales. La infraestructura permite estudiar estructura química, orden molecular y cambios inducidos por procesado o reciclado. El servicio incluye preparación de muestras, adquisición de espectros y difractogramas, interpretación básica y apoyo técnico para evaluar formulaciones, degradación, compatibilidad y desempeño en el contexto de la economía circular.","The structural analysis technical service enables the identification of phases, functional groups and crystallinity in polymeric materials using XRD, FTIR, Raman and complementary techniques such as DSC, TGA, UV-Vis, NMR and elemental analysis. The facility allows the study of chemical structure, molecular order and changes induced by processing or recycling. The service includes sample preparation, acquisition of spectra and diffractograms, basic interpretation and technical support for assessing formulations, degradation, compatibility and performance within a circular-economy framework.","Difractómetro de rayos X (XRD). 
Espectrómetro FTIR (ATR y transmisión). 
Microscopio Raman para análisis químico y mapeo espectral. 
DSC y TGA para transiciones térmicas y degradación. 
UV-Vis para análisis óptico y envejecimiento. 
RMN (resonancia magnética nuclear) para estructura química. 
Análisis elementales (CHN, otros). 
Preparación de muestras: micronización, prensado, films y pellets. 
Software avanzado de análisis espectral y difracción.","Data acquisition XRD diffractometer. 
FTIR spectrometer (ATR and transmission). 
Raman microscope for chemical and spectral mapping. 
DSC and TGA for thermal transitions and degradation. 
UV-Vis spectrophotometer. 
NMR for chemical-structure analysis. 
Elemental analysis (CHN, etc.). 
Sample preparation: micronisation, pressing, films, pellets. 
Advanced software for spectral and diffraction analysis.","Realización de análisis estructural para identificar fases, grupos funcionales y cristalinidad en materiales poliméricos. 
Obtención básica de espectros XRD, FTIR, Raman y RMN. 
Determinación de compatibilidad y miscibilidad en mezclas y compuestos mediante análisis espectral. 
Análisis elementales para verificar composición, pureza o presencia de aditivos y contaminantes. 
Apoyo técnico para estudios de reciclado, control de calidad y validación.","Structural analysis to identify phases, functional groups and crystallinity in polymeric materials. 
Acquisition and basic interpretation of XRD, FTIR, Raman and NMR spectra to assess formulations and chemical modifications. 
Evaluation of thermal, oxidative or photochemical degradation in virgin and recycled plastics. 
Compatibility and miscibility assessment in blends and composites through spectral analysis. 
Elemental analysis to verify composition, purity or the presence of additives and contaminants. 
Technical support for recycling studies, quality control and validation within circular-economy projects.","https://www.dropbox.com/scl/fo/1yobvb3h1vyr6vlojq8ne/AIZ1t-_fz-tOOV-088K2WCs?rlkey=u3vxy52nqs3qyv3kguaat1imd\&st=sxlsjs5s\&dl=0","Estructura química; Cristalinidad; Degradación / Chemical structure; Crystallinity; Degradation","Paula Ferreira, pcferreira@ua.pt"
"2",2,"Universidade De Aveiro","Ensayo de propiedades mecánicas en plásticos","Mechanical testing of plastic materials","Evaluación de propiedades mecánicas mediante ensayos de tracción, compresión, flexión, dureza e impacto","Evaluation of mechanical properties through tensile, compression, flexural, hardness, and impact testing","El servicio técnico de propiedades mecánicas permite evaluar el comportamiento estructural de materiales plásticos mediante ensayos de tracción, compresión, flexión, dureza (Shore y Vickers) e impacto. El laboratorio dispone de equipos con control digital de carga y deformación, útiles normalizados y acondicionamiento térmico para garantizar resultados reproducibles. El servicio incluye la preparación de probetas, la ejecución de los ensayos según normas aplicables y la entrega de datos mecánicos y análisis básicos para validación de materiales, control de calidad o desarrollo de nuevas formulaciones","The mechanical properties technical service enables the evaluation of the structural performance of plastic materials through tensile, compression, flexural, hardness (Shore and Vickers), and impact tests. The laboratory is equipped with digitally controlled load and deformation systems, standardized fixtures, and thermal conditioning tools to ensure reproducible results. The service includes specimen preparation, testing according to relevant standards, and delivery of mechanical data and basic analysis for material validation, quality control, or formulation development.","Máquina universal de ensayos con control de carga y velocidad. 
Accesorios para ensayos de tracción, compresión y flexión según normas. 
Durómetros Shore A/D y Vickers para medición de dureza. 
Equipo de ensayo de impacto (Charpy). 
Cámara de acondicionamiento térmico y humedad. 
Software de adquisición y análisis de curvas esfuerzo–deformación","Universal testing machine with controlled load and speed. 
Fixtures for tensile, compression, and flexural testing. 
Shore A/D and Vickers hardness testers. 
Impact testing system (Charpy / Izod). 
Temperature and humidity conditioning chamber. 
Data acquisition and stress–strain analysis software.","Producción de láminas, filmes o especímenes termoplásticos. 
Optimización de condiciones de prensado y validación de procesabilidad. 
Preparación de muestras para ensayos térmicos, mecánicos o de barrera. 
Procesado de formulaciones recicladas o modificadas.","Production of thermoplastic sheets, films, or specimens. 
Optimization of pressing conditions and processability validation. 
Preparation of samples for thermal, mechanical, or barrier testing. 
Processing of recycled or modified formulations.","https://www.dropbox.com/scl/fo/xf90js0cb3zafeua3fh3j/AFd7T9sssXSdvmNTKu5TiYg?rlkey=h3429va0cheuv0pa67aqmzp4e\&st=0hw5qz51\&dl=0","Termocompresión; Termoplásticos; Procesado / Thermocompression; Thermoplastics; Processing","Paula Ferreira, pcferreira@ua.pt"
"3",3,"Universidade De Aveiro","Análisis óptico de polímeros","Optical analysis of polymers","Análisis óptico de polímeros: Espectroscopía UV-Vis y análisis colorimétrico","Optical analysis of polymers by UV-Vis spectrometry and colorimetric analysis","La Universidad de Aveiro (UA) ofrece instalaciones avanzadas y experiencia para la caracterización óptica de materiales, incluyendo espectrofotómetros UV-Vis con esferas integradoras, espectroscopía de fluorescencia, medición del índice de refracción y análisis colorimétrico. Estas herramientas permiten una evaluación precisa de la absorción, reflectancia, transmitancia, dispersión, emisión y parámetros de color (Lab* y ΔE). Los servicios incluyen orientación en la preparación de muestras, mediciones espectrales y análisis de datos.","The University of Aveiro (UA) offers advanced facilities and expertise for the optical characterization of materials, including UV-Vis-NIR spectrophotometers with integrating spheres, fluorescence spectroscopy, refractive index measurement, and colorimetric analysis. These tools allow precise evaluation of absorption, reflectance, transmittance, scattering, emission, and color parameters (Lab* and ΔE). Services include sample preparation guidance, spectral measurements, and data analysis. 

","Espectrofotometría UV-Vis-NIR UV-3100 

Colorimetro","UV-Vis-NIR spectrophotometer, Shimadzu 

Colorimeter","Control de calidad de filmes y recubrimientos 

Evaluación de transparencia y coloración 

Estudio de degradación por reciclaje o exposición UV 

Desarrollo de polímeros y aditivos funcionales","Quality control of films and coatings 

Transparency and color assessment 

Degradation study under recycling or UV exposure 

Development of functional polymers and additives","https://www.dropbox.com/scl/fo/xaqzppmaayapda53k1tvx/AIDpmaFKCEZLID3JTH4FTCo?rlkey=5z63cxly7e06w8lnpsp43lkua\&st=besidq52\&dl=0","Óptica / Optics; Transparencia / Transparency; Color / Color","Paula Ferreira, pcferreira@ua.pt, Department of Materials and Ceramic Engineering"
"4",4,"Universidade De Aveiro","Revestimiento de superficies plásticas","Plastic surface coating","Revestimiento de superficies por serigrafía, recubrimiento por cuchilla y spray coating","Surface coating by screen printing, doctor blade coating, and spray coating","El servicio técnico de revestimiento de superficies permite aplicar y optimizar recubrimientos funcionales y etiquetado (labelling) sobre materiales plásticos mediante serigrafía, recubrimiento por cuchilla y spray coating, garantizando un control preciso del espesor, la uniformidad y las condiciones de curado. La infraestructura incluye equipos de deposición, sistemas de curado térmico o UV y preparación de sustratos. El servicio define y ajusta los parámetros de aplicación para obtener recubrimientos homogéneos y reproducibles, asegurando que cumplen los requisitos funcionales y de calidad establecidos. 
","The technical surface coating service enables the application and optimization of functional coatings and labelling on plastic materials using screen printing, blade coating, and spray coating, ensuring precise control of thickness, uniformity, and curing conditions. The facility includes deposition equipment, thermal and UV curing systems, and substrate preparation tools. The service defines and adjusts application parameters to obtain homogeneous and reproducible coatings that meet the required functional and quality specifications.","Impresora serigráfica Aurel C920 (Italia) con control digital de presión, velocidad y tipo de malla. 
Sistema para la aplicación de películas delgadas y uniformes (doctor blade coating). 
Cámara de spray coating con control de caudal, atomización y distancia de aplicación. 
Horno para curado térmico y secado controlado de recubrimientos. 
Cámara de curado UV para polimerización eficiente de tintas y recubrimientos. 
Cámara de humedad y temperatura controladas para el acondicionamiento y estabilización de sustratos o recubrimientos. 
Instrumentación para medición de espesor, uniformidad y acabado superficial, incluyendo perfilómetro, microscopía electrónica de barrido (SEM) y microscopía de fuerza atómica (AFM).","Aurel C920 screen-printing machine (Italy) with digital control of pressure, speed, and mesh type. 
Doctor blade coating system for the application of thin and uniform films. 
Spray coating chamber with controlled flow rate, atomization, and application distance. 
Thermal curing oven for controlled drying and curing of coatings. 
UV curing chamber for efficient polymerization of inks and coatings. 
Humidity- and temperature-controlled chamber for substrate or coating conditioning and stabilization. 
Instrumentation for measuring thickness, uniformity, and surface finish, including profilometer, scanning electron microscopy (SEM), and atomic force microscopy (AFM).","Aplicación controlada de recubrimientos funcionales y etiquetado (labelling) sobre láminas y piezas plásticas. 
Validación de tintas, barnices, capas barrera o recubrimientos protectores. 
Optimización de parámetros de serigrafía y recubrimiento por cuchilla para formulaciones específicas. 
Producción de muestras recubiertas para caracterización avanzada o validación industrial. 
Evaluación de adherencia, espesor y uniformidad de recubrimientos funcionales. 
Soporte técnico para el desarrollo de electrónica impresa y dispositivos funcionales en sustratos plásticos.","Controlled application of functional coatings and labelling on plastic sheets and parts. 
Validation of inks, varnishes, barrier layers, or protective coatings. 
Optimization of screen-printing and doctor blade coating parameters for specific formulations. 
Production of coated samples for advanced characterization or industrial validation. 
Evaluation of adhesion, thickness, and uniformity of functional coatings. 
Technical support for the development of printed electronics and functional devices on plastic substrates.","https://www.dropbox.com/scl/fo/8sqn0t2wfk8195sxwgn9i/AIxLLWr1rzRHcnbWXeW8Sog?rlkey=bhtjfdods7wjpu8bejy59xip5\&st=rmfr75a4\&dl=0","Doctor blade; Serigrafía; Recubrimiento   Doctor blade coating; Screen printing; Surface finishing","Paula Ferreira, pcferreira@ua.pt"
"5",5,"Universidade De Aveiro","Servicio técnico de análisis morfológico","Morphological analysis technical service","Caracterización micro- y nanoestructural de materiales plásticos mediante técnicas ópticas y electrónicas","Micro- and nanoscale characterization of plastic materials using optical and electron microscopy techniques.","El servicio técnico de análisis morfológico ofrece la caracterización micro- y nanoestructural de materiales plásticos utilizando microscopía óptica, SEM, TEM y perfilometría 3D. El servicio abarca la preparación de muestras, obtención de imágenes de alta resolución y elaboración de informes técnicos con interpretación morfológica especializada. 

Permite evaluar la presencia de defectos, interfaces, porosidad y efectos de procesado o reciclado, aportando información clave para la validación de materiales, optimización de procesos y desarrollo de nuevas soluciones dentro del contexto de sostenibilidad y economía circular.","The morphological analysis technical service provides micro- and nanoscale characterization of plastic materials using optical microscopy, SEM, TEM, and 3D profilometry techniques. The service includes sample preparation, acquisition of high-resolution images, and delivery of technical reports with specialized morphological interpretation. 

It enables the evaluation of defects, interfaces, porosity, and process- or recycling-induced changes, offering essential information for material validation, process optimization, and the development of innovative solutions aligned with sustainability and circular-economy principles.","Microscopía Óptica para observación general de superficies y secciones transversales. 
Microscopía Electrónica de Barrido (SEM) – Hitachi SU8600 / SU70 / S4100, con Espectroscopía EDS para morfología superficial y mapeo elemental. 
Microscopía Electrónica de Transmisión (TEM) – JEOL 2200FS y STEM Hitachi HD2700 para observación a escala nanométrica y atómica. 
Microscopía de Fuerza Atómica (AFM) – Veeco Nanoscope IIIA, para topografía, rugosidad e imagen de fase de superficies poliméricas. 
Perfilometría Óptica 3D – Sensofar S Neox, para cuantificación de textura y microrelieve superficial.","Optical Microscopy for general observation of surfaces and cross-sections. 
Scanning Electron Microscopy (SEM) – Hitachi SU8600 / SU70 / S4100 with EDS for surface morphology and elemental mapping. 
Transmission Electron Microscopy (TEM) – JEOL 2200FS and Scanning TEM (STEM) Hitachi HD2700 for nanoscale and atomic-level imaging. 
Atomic Force Microscopy (AFM) – Veeco Nanoscope IIIA for topography, roughness, and phase imaging. 
3D Optical Profilometry – Sensofar S Neox for surface texture and micro-relief quantification.","Prestación de análisis morfológico micro- y nanoestructural de materiales plásticos. 
Servicio de detección y diagnóstico de defectos, porosidad, interfaces y degradación en piezas o formulaciones poliméricas. 
Evaluación, basada en la morfología, de los efectos de procesos de reciclado, reformulación o modificación del material. 
Control de calidad morfológico de materiales y piezas en entornos industriales, a escala piloto o de laboratorio.","Provision of micro- and nanoscale morphological analysis of plastic materials. 
Service for detecting and diagnosing defects, porosity, interfaces, and degradation in polymer parts or formulations. 
Morphology-based assessment of the effects of recycling, reformulation, or material modification processes. 
Morphological quality control of materials and parts for industrial, pilot-scale, or laboratory environments.","https://www.dropbox.com/scl/fo/acxzbogurox0475qp6xee/AFcG0gi-5yqKyLJJy004OEg?rlkey=meww2flbxp1pxdzcqbjfyt36p\&st=lupybvxs\&dl=0","Microscopía, Caracterización, Plásticos       Microscopy, Characterization, Plastics","Paula Ferreira, pcferreira@ua.pt"
"6",6,"Universidade De Aveiro","Analysis de barrera y superfície propiedades","Analysis of Barrier and surface properties","Determinación de permeabilidad al vapor de agua y oxígeno, y medición del ángulo de contacto.","Determination of water vapor and oxygen permeability and contact angle measurement.","La Universidad de Aveiro dispone de las instalaciones necesarias para la determinación de las propiedades de barrera y superficie de materiales poliméricos. 
Las pruebas de permeabilidad se realizan bajo condiciones controladas de temperatura y humedad relativa, utilizando equipos específicos para la tasa de transmisión de vapor de agua (WVTR) y la tasa de transmisión de oxígeno (OTR), de acuerdo con las normas internacionales (ASTM e ISO).
Las mediciones del ángulo de contacto se llevan a cabo mediante sistemas goniométricos equipados con cámaras de alta resolución y software automatizado para el análisis de gotas. Estas mediciones pueden realizarse utilizando diferentes líquidos de prueba.","The University of Aveiro has the facilities to determine barrier and surface properties of polymeric materials.  
Permeability tests are carried out under controlled temperature and relative humidity conditions using dedicated instruments for Water Vapor Transmission Rate (WVTR) and Oxygen Transmission Rate (OTR), in accordance with international standards (ASTM and ISO). 
Contact angle measurements are performed using goniometric systems equipped with high-resolution cameras and automated droplet analysis software. Measurements can be conducted with various probe liquids (e.g., water, diiodomethane, ethylene glycol).","Medición de permeabilidad al vapor de agua (WVTR);  

Medición de permeabilidad al oxígeno (OTR);  

Análisis de ángulo de contacto mediante goniómetro.","Water vapor transmission rate (WVTR) measurement;  

Oxygen transmission rate (OTR) measurement; 

 Contact angle analysis using a goniometer.","Evaluación de materiales de envase;  

Desarrollo de recubrimientos funcionales;  

Estudio de nanocompuestos;  

Control de calidad de materiales.","Evaluation of packaging materials;  

Development of functional coatings;  

Study of nanocomposites;  

Quality control of materials","https://www.dropbox.com/scl/fo/f9rqtg0w8wkom2jqgsbyb/AJDKSMPs38MdPc7-JrV8PmU?rlkey=d0bnfesiu70ithnvigtn9dj5s\&st=ece00pwc\&dl=0","Permeabilidad / Ángulo de contacto / Superficie | Permeability / Contact angle / Surface","Paula Ferreira, pcferreira@ua.pt, Department of Materials and Ceramic Engineering"
"7",7,"Universidade De Aveiro","Análisis térmico de polímeros","Thermal analysis of polymers","Análisis térmico de polímeros","Thermal analysis of polymers using Thermogravimetric Analysis, Differential Scanning Calorimetry, and Differential Thermal Analysis","La Universidad de Aveiro ofrece servicios especializados en análisis térmico de materiales, proporcionando una caracterización avanzada mediante Análisis Termogravimétrico (TGA), Calorimetría Diferencial de Barrido (DSC) y Análisis Térmico Diferencial (DTA). Estas técnicas permiten una evaluación precisa de la estabilidad térmica, las transiciones de fase y los cambios composicionales en una variedad de materiales. Los análisis pueden realizarse bajo atmósferas controladas de horno, nitrógeno, dióxido de carbono, oxígeno y aire, para simular diversas condiciones de procesamiento o aplicación. Además, estas mediciones pueden complementarse con análisis de conductividad y efusividad térmica.","The University of Aveiro offers specialized services in thermal analysis of materials, providing advanced characterization through Thermogravimetric Analysis (TGA), Differential Scanning Calorimetry (DSC), and Differential Thermal Analysis (DTA). These techniques enable the precise evaluation of thermal stability, phase transitions, and compositional changes in a wide range of materials. Analyses can be performed under controlled furnace atmospheres, including nitrogen (N₂), carbon dioxide (CO₂), oxygen (O₂), and air, to simulate diverse processing or application environments. Additionally, these measurements can be complemented by thermal conductivity and effusivity analyses.","Análisis termogravimétrico (TGA);  

Calorimetría diferencial de barrido (DSC);  

Análisis térmico diferencial (DTA);  

Medición de conductividad térmica.","Thermogravimetric analysis (TGA);  

Differential scanning calorimetry (DSC);  

Differential thermal analysis (DTA);  

Thermal Conductivity Analyser.","Caracterización de materiales; control de calidad; desarrollo de nuevos productos; optimización de procesos; investigación científica e industrial.","Material characterization; quality control; new product development; process optimization; scientific and industrial research.","https://www.dropbox.com/scl/fo/kpkaaq48ji393vfevovvm/AKgLA-kIjaN5pPG9SJ0wcy8?rlkey=mmhmzdjqichaf8vgh8vk6tinn\&st=8z55d86f\&dl=0","TGA / DSC / Conductividad térmica | TGA / DSC / Thermal conductivity","Paula Ferreira, pcferreira@ua.pt, Department of Materials and Ceramic Engineering"
"8",8,"Universidade De Aveiro","Servicio técnico de extrusión de polímeros","Polymer extrusion technical service","Procesado continuo de materiales termoplásticos y compuestos funcionales a escala laboratorio y piloto.","Continuous processing of thermoplastic and functional composite materials at lab and pilot scale","El servicio ofrece procesado continuo de materiales termoplásticos, reciclados y compuestos funcionales bajo condiciones controladas de temperatura, par y velocidad de husillos, en configuraciones de extrusión mono y doble. Estas infraestructuras son adecuadas para la obtención de filamentos, láminas, películas y tubos finos destinados a ensayos de caracterización, validación industrial o desarrollo de prototipos. El servicio incluye la preparación, ajuste de parámetros de procesado, monitoreo de estabilidad térmica y entrega de resultados en formato digital, junto con las muestras, identificando el producto final del servicio (por ejemplo, filamentos, láminas, películas o tubos extruidos).","The polymer extrusion service provides continuous processing of thermoplastic, recycled, and functional composite materials under controlled temperature, torque, and screw speed using both single- and twin-screw configurations. These facilities are suitable for producing filaments, sheets, films, and thin tubes for material characterization, industrial validation, or prototype development. The service includes material preparation, processing parameter adjustment, thermal stability monitoring, and result delivery in digital format, together with extruded samples, identifying the product obtained at the end of the service (e.g., filaments, sheets, films, or tubes).","Extrusora de doble husillo (p. ej. Xplore MC 15 HT). 
Extrusoras monohusillo (escala laboratorial y piloto). 
Control de temperatura, par y velocidad ajustable. 
Sistema de monitoreo térmico durante el procesado.","Twin-screw extruder (e.g. Xplore MC 15 HT). 
Single-screw extruders (lab and pilot scale). 
Adjustable temperature, torque, and screw speed control. 
Thermal monitoring system during processing.","Producción de filamentos, láminas, películas y tubos finos. 
Ensayos de procesabilidad y estabilidad térmica. 
Validación de formulaciones termoplásticas, recicladas o compuestas. 
Fabricación de muestras piloto para caracterización o pruebas industriales.","Production of filaments, sheets, films, and thin tubes. 
Processability and thermal stability tests. 
Validation of thermoplastic, recycled, or composite formulations. 
Pilot sample fabrication for characterization or industrial trials.","https://www.dropbox.com/scl/fo/16329b6cxhe82huzvvqmu/APeeKxbNepsGsIDhPyvnGkU?rlkey=ewwi0dr1p6p8i82deonpeu56b\&st=op2ct9yz\&dl=0","Extrusión; Termoplásticos; Procesado / Extrusion; Thermoplastics; Processing","Paula Ferreira, pcferreira@ua.pt"
"9",9,"Universidade De Aveiro","Servicio técnico de impresión 3D","3D printing technical service","Fabricación aditiva de materiales termoplásticos y compuestos a escala laboratorio.","Additive manufacturing of thermoplastic and composite materials at laboratory scale.","El servicio de impresión 3D ofrece la fabricación de piezas, prototipos o especímenes mediante tecnología de deposición de filamento fundido, apta para materiales termoplásticos convencionales, reciclados o formulaciones experimentales desarrolladas en el laboratorio. El sistema permite controlar con precisión la temperatura de extrusión y cama caliente, velocidad de impresión, altura de capa y geometría, garantizando una alta reproducibilidad y resolución dimensional. El servicio incluye la preparación del material, ajuste de parámetros de impresión y entrega de resultados en formato digital, junto con las muestras etiquetadas y parámetros de proceso registrados.","The 3D printing service enables the fabrication of parts, prototypes, or specimens through Fused Filament Fabrication, suitable for conventional, recycled, or experimental thermoplastic formulations developed at laboratory scale. The system provides precise control of extrusion and bed temperatures, print speed, layer height, and geometry, ensuring high reproducibility and dimensional accuracy. The service includes material preparation, printing parameter adjustment, and result delivery in digital format, together with labelled samples and recorded process data.","Impresoras 3D de deposición de filamento fundido (p. ej. B2X300). 
Control de temperatura de extrusión y cama caliente. 
Software de control de impresión y diseño asistido. 
Capacidad para materiales termoplásticos y compuestos experimentales.","3D printers using Fused Filament Fabrication technology (e.g. B2X300). 
Extrusion and heated-bed temperature control. 
Integrated software for printing control and assisted design. 
Compatible with thermoplastic and experimental composite materials.","Fabricación de piezas, prototipos o especímenes reproducibles. 
Optimización de parámetros de impresión y validación de procesabilidad. 
Evaluación de adherencia entre capas y calidad superficial. 
Impresión de materiales reciclados o formulaciones experimentales.","Fabrication of reproducible parts, prototypes, or specimens. 
Optimization of printing parameters and processability validation. 
Evaluation of interlayer adhesion and surface quality. 
Printing of recycled or experimental formulations.","https://www.dropbox.com/scl/fo/g2gh6lpvnf8paievgvzaa/AG1aQ-k7UmOpJeWKzod3Q8E?rlkey=k59wpuzfwcar1rqoqcfsqentf\&st=jz1bbtop\&dl=0","ES: Impresión 3D; Termoplásticos; Procesado   EN: 3D printing; Thermoplastics; Processing","Paula Ferreira, pcferreira@ua.pt"
"10",10,"Universidade De Aveiro","Servicio técnico de moldeo por inyección","Injection molding techical service","njection molding techical service","Processing of thermoplastic, recycled, and composite materials at laboratory and pilot scale.","El servicio permite el procesado controlado de polímeros termoplásticos, mezclas y compuestos bajo condiciones precisas de temperatura, presión y velocidad de inyección, a escala laboratorio y piloto. La infraestructura cuenta con inyectoras equipadas con control digital de parámetros de procesado, adecuadas para el moldeo de probetas normalizadas. El servicio incluye la preparación del material, optimización de las condiciones de inyección, registro digital de los parámetros de proceso y entrega de las muestras identificadas obtenidas. Permite validar la procesabilidad, estabilidad térmica y desempeño funcional de formulaciones convencionales, recicladas o modificadas.","The injection molding service enables controlled processing of thermoplastic polymers, blends, and composites under precise temperature, pressure, and injection speed conditions, at laboratory and pilot scales. The facility includes injection molding machines with digital process control, suitable for molding standardized specimens. The service includes material preparation, optimization of injection parameters, digital recording of processing data, and delivery of the identified molded samples. It supports validation of processability, thermal stability, and functional performance of conventional, recycled, or modified formulations.","Inyectora de laboratorio (p. ej. Xplore IM 12 micro inyector). 
Inyectora a escala piloto. 
Control de temperatura, tiempo y presión de inyección. 
Moldes intercambiables para probetas normalizadas","Laboratory injection molding machine (e.g. Xplore IM 12 micro injector). 
Pilot-scale injection molding machine. 
Temperature, time and injection pressure control. 
Interchangeable molds for standardized specimens.","Producción de probetas reproducibles. 
Validación de procesabilidad y estabilidad térmica de formulaciones. 
Optimización de parámetros de inyección y control de calidad. 
Ensayos piloto para validación industrial o caracterización avanzada.","Production of reproducible molded specimens. 
Validation of processability and thermal stability of formulations. 
Optimization of injection parameters and quality control. 
Pilot-scale testing for industrial validation or advanced characterization.","https://www.dropbox.com/scl/fo/g1m22k1839rh49y24h03s/AEq46WCMLNFL24eWHpp9krM?rlkey=fpxgo4ozrcehnj6wji01mwsv5\&st=08vir565\&dl=0","ES: Inyección; Termoplásticos; Procesado  EN: Injection; Thermoplastics; Processing","Paula Ferreira, pcferreira@ua.pt"
